Unnamed: 0,ID,Latitud,Longitud,Elevación,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
EL OUED/ALGERIA,10160559000.000000,33.500000,6.120000,63.000000,10.599259,12.702963,17.036296,21.190833,25.913571,30.961379,33.926154,33.569630,29.014615,23.144138,16.136667,11.510741
AIN SEFRA/ALGERIA,10160560000.000000,32.770000,-0.600000,1058.000000,6.545833,9.228571,12.716667,16.365217,21.036364,26.232000,30.244000,28.976000,24.084000,17.928000,12.088889,7.942857
GHARDAIA/ALGERIA,10160566000.000000,32.380000,3.820000,450.000000,10.788462,13.048276,16.766667,20.453846,25.196429,30.793333,34.244444,33.707692,28.551852,22.403448,16.050000,11.810345
BECHAR/ALGERIA,10160571000.000000,31.620000,-2.230000,773.000000,9.132963,12.267500,16.374643,20.188929,24.621071,30.338148,33.941852,33.155000,27.981200,21.645357,14.971481,10.429630
EL GOLEA/ALGERIA,10160590000.000000,30.570000,2.870000,397.000000,9.882500,12.858519,17.240417,21.658800,26.442800,32.130400,34.781304,34.320000,29.836250,23.210357,15.617778,10.971923
TIMIMOUN/ALGERIA,10160607000.000000,29.250000,0.280000,312.000000,11.582609,14.686364,19.295000,24.082609,28.847826,34.340909,37.240000,36.300000,31.880000,24.962500,17.496154,12.654167
IN AMENAS/ALGERIA,10160611000.000000,28.050000,9.630000,562.000000,10.516071,13.366071,18.402083,23.448077,28.462500,32.466667,33.188000,32.280769,30.007692,24.616667,16.792857,12.026000
ADRAR/ALGERIA,10160620000.000000,27.880000,-0.280000,263.000000,12.579615,16.281429,20.613571,25.317600,30.086071,35.187778,37.747407,36.990370,32.881852,26.378929,18.753333,14.041724
IN SALAH/ALGERIA,10160630000.000000,27.200000,2.470000,293.000000,13.879167,17.114286,21.592308,26.110345,30.985185,36.042857,38.042857,37.250000,33.735714,27.462069,20.007407,15.185185
DJANET/ALGERIA,10160670000.000000,24.550000,9.470000,1054.000000,11.947619,14.819048,19.560870,25.354545,29.330000,31.936364,31.652381,31.268182,29.726087,24.666667,18.045455,13.445455
TAMANRASSET/ALGERIA,10160680000.000000,22.780000,5.520000,1378.000000,12.917391,15.216667,19.056000,23.692308,27.303846,29.770833,29.782609,29.095833,27.615385,23.453333,17.860714,14.207143
KANDI/BENIN,10365306000.000000,11.130000,2.930000,292.000000,24.805769,27.744231,31.124400,32.112400,30.148333,27.720400,26.132400,25.576400,26.112400,27.436923,26.690769,24.875000
NATITINGOU/BENIN,10365319000.000000,10.320000,1.380000,461.000000,26.361071,28.682500,30.150357,29.628929,27.964643,26.368214,25.046786,24.771786,25.189643,26.171786,26.330000,26.321034
PARAKOU/BENIN,10365330000.000000,9.350000,2.620000,393.000000,26.726667,28.852593,29.945185,29.290000,27.647692,26.120769,25.047692,24.590000,25.116923,26.190000,27.139231,26.565000
SAVE/BENIN,10365335000.000000,8.030000,2.470000,200.000000,27.926552,29.554138,29.595667,28.579310,27.610345,26.362069,25.210345,24.824138,25.465517,26.427586,27.779310,27.682759
BOHICON/BENIN,10365338000.000000,7.170000,2.070000,167.000000,27.607000,29.036333,28.913000,28.236333,27.207143,26.017241,24.970000,24.670000,25.376667,26.273333,27.675862,27.620000
COTONOU/BENIN,10365344000.000000,6.350000,2.380000,9.000000,27.625926,28.907407,29.280000,29.031034,28.222222,26.935714,26.046429,25.782143,26.311111,27.174074,28.211111,28.044444
DORI/BURKINA FASO,10565501000.000000,14.030000,-0.030000,277.000000,23.192308,26.468000,30.688889,33.824000,34.457692,32.359259,29.861538,28.496296,29.732143,30.853846,27.670833,24.276923
OUAHIGOUYA/BURKINA FASO,10565502000.000000,13.570000,-2.420000,336.000000,24.050000,27.408696,31.225000,33.727273,33.450000,30.980769,28.390476,27.112500,27.980952,29.963636,28.459091,25.087500
OUAGADOUGOU/BURKINA FASO,10565503000.000000,12.350000,-1.520000,306.000000,24.329231,27.367778,30.983846,32.810769,31.667500,29.260769,27.068462,26.110000,26.958148,28.696400,27.484167,24.850000
FADA N'GOURMA/BURKINA FASO,10565507000.000000,12.030000,0.370000,309.000000,25.034483,28.157692,31.700000,32.837037,31.366667,28.860714,26.812000,25.870370,26.444444,28.000000,27.553846,25.573333
BOBO-DIOULASS/BURKINA FASO,10565510000.000000,11.170000,-4.320000,460.000000,25.719231,28.556522,30.704545,30.765385,29.196000,26.987500,25.492000,24.829630,25.366667,27.000000,27.587500,26.008000
BOROMO/BURKINA FASO,10565516000.000000,11.750000,-2.930000,271.000000,24.795385,28.071200,31.311111,32.383846,30.971200,28.540741,26.714400,25.853571,26.281481,27.825385,27.010000,25.194615
GAOUA/BURKINA FASO,10565522000.000000,10.330000,-3.180000,335.000000,25.466667,28.404000,30.502069,30.271304,29.073913,27.242609,25.792308,25.215385,25.682963,27.100000,27.101739,25.287200
GAROUA/CAMEROON,10764860000.000000,9.330000,13.380000,244.000000,24.831250,28.448889,31.907143,32.664286,30.650000,27.816250,25.918571,25.821429,25.521429,27.208333,27.372222,25.438889
DOUALA OBS./CAMEROON,10764910000.000000,4.000000,9.730000,9.000000,27.332222,28.068947,27.765556,27.274211,26.924615,26.156667,25.185000,24.944615,25.232222,25.656364,26.634000,27.018667
BERBERATI/CENTRAL AFRICAN REPUBLIC,10964600000.000000,4.250000,15.800000,583.000000,24.025000,25.472222,25.612500,25.356250,24.561538,23.987500,23.307692,23.442857,23.405556,23.633333,24.047059,23.560000
BOUAR/CENTRAL AFRICAN REPUBLIC,10964601000.000000,5.970000,15.630000,1020.000000,23.360833,25.145000,24.924000,24.035833,22.467778,21.715455,20.988750,20.895333,21.132941,21.703636,22.742727,23.014167
BOSSANGOA/CENTRAL AFRICAN REPUBLIC,10964610000.000000,6.480000,17.430000,465.000000,24.106364,27.180833,28.824545,28.767000,26.646250,25.967000,25.011667,24.629375,24.730833,25.333636,25.560909,23.845455
BANGUI/CENTRAL AFRICAN REPUBLIC,10964650000.000000,4.400000,18.520000,366.000000,24.535714,26.781250,27.080000,26.957143,26.236364,25.630000,24.750000,24.716667,24.761111,24.780000,25.181250,24.850000
BRIA/CENTRAL AFRICAN REPUBLIC,10964655000.000000,6.530000,21.980000,584.000000,23.800000,26.200000,27.364706,26.880000,25.550000,24.520000,23.900000,23.968750,24.023529,24.260000,24.052941,23.386667
BAMBARI/CENTRAL AFRICAN REPUBLIC,10964660000.000000,5.850000,20.650000,475.000000,25.545455,27.675000,27.883333,27.308333,25.590000,24.970000,24.062500,23.985714,24.118182,24.466667,24.833333,24.660000
NDJAMENA/CHAD,11064700000.000000,12.130000,15.030000,295.000000,22.875000,26.261538,30.362500,33.676923,33.350000,31.000000,27.916667,26.560000,27.780952,28.954545,27.161538,24.058824
POINTE-NOIRE/CONGO,11264400000.000000,-4.820000,11.900000,17.000000,26.822500,27.328421,27.440000,27.416522,26.304000,23.709474,22.429000,22.679000,24.120870,25.962105,26.377895,26.489524
LOUBOMO/CONGO,11264401000.000000,-4.200000,12.700000,330.000000,25.597500,25.918095,26.213333,26.225217,25.317273,22.960952,21.897391,22.386667,23.667273,25.216000,25.399048,25.300952
MOUYONDZI/CONGO,11264402000.000000,-3.980000,13.920000,512.000000,24.563636,25.005000,25.228571,25.400000,24.585714,22.380000,21.381000,22.272381,23.681053,24.676000,24.532727,24.396364
SIBITI/CONGO,11264405000.000000,-3.680000,13.350000,531.000000,25.260000,25.522500,25.726667,25.860000,25.060000,22.910000,21.800000,22.326667,23.140000,24.726667,24.760000,24.790000
BRAZZAVILLE //CONGO,11264450000.000000,-4.250000,15.250000,316.000000,25.896500,26.500000,26.755217,26.853913,25.995238,23.878235,22.778889,23.939333,25.602000,25.745000,25.822500,25.785263
MAKOUA/CONGO,11264456000.000000,-0.020000,15.580000,379.000000,25.137391,25.755238,25.971579,25.903158,25.118947,24.357647,23.816667,24.470588,24.610000,24.757895,24.800000,24.764000
OUESSO/CONGO,11264458000.000000,1.620000,16.050000,352.000000,24.707500,26.063478,26.428696,26.350435,25.983000,25.002857,24.488571,24.666316,24.729474,24.970476,25.059000,24.846957
BONDOUKOU/COTE D'IVOIRE,11365545000.000000,8.050000,-2.780000,370.000000,26.628182,28.452800,28.531000,27.655000,26.922609,25.353043,24.319091,24.060000,24.406316,25.440000,26.022727,25.659091
GAGNOA/COTE D'IVOIRE,11365557000.000000,6.130000,-5.950000,210.000000,26.023529,27.257895,27.078947,26.990000,26.511111,25.266667,24.505882,24.429412,25.000000,25.594118,25.805263,25.868750
DALOA/COTE D'IVOIRE,11365560000.000000,6.870000,-6.470000,277.000000,26.070000,27.652105,27.597778,27.121905,26.508500,25.656500,24.662105,24.798333,25.052778,25.641000,25.853889,25.215789
DIMBOKRO/COTE D'IVOIRE,11365562000.000000,6.650000,-4.700000,92.000000,27.525263,29.257391,29.095909,28.894762,28.009412,26.966429,25.962941,25.903125,26.462000,26.913810,27.562105,27.053750
ABIDJAN/COTE D'IVOIRE,11365578000.000000,5.250000,-3.930000,8.000000,26.905000,28.092500,28.224286,28.274286,27.773750,26.497333,25.048000,24.268000,24.722857,26.262857,27.657500,27.516923
ADIAKE/COTE D'IVOIRE,11365585000.000000,5.300000,-3.300000,39.000000,26.388235,27.422222,27.712500,27.668750,26.988235,25.685714,24.805882,24.500000,24.929412,25.831250,26.793333,26.582353
TABOU/COTE D'IVOIRE,11365592000.000000,4.420000,-7.370000,21.000000,26.075000,26.724000,27.033333,27.050000,26.605000,25.784211,25.065000,24.550000,24.940000,25.736364,26.294118,26.170588
SAN PEDRO/COTE D'IVOIRE,11365594000.000000,4.750000,-6.650000,30.000000,26.479474,27.190000,27.389524,27.669500,26.926316,25.944444,24.936316,24.644500,25.053500,25.968421,26.556875,26.453158
SASSANDRA/COTE D'IVOIRE,11365599000.000000,4.950000,-6.080000,66.000000,26.104762,26.765217,26.970000,27.165217,26.548000,25.480952,24.422727,23.979167,24.556522,25.426087,26.286957,26.166667
MERSA MATRUH/EGYPT,11562306000.000000,31.330000,27.220000,28.000000,13.367308,13.602000,15.257407,17.842593,20.481250,23.679630,25.694444,26.245000,25.029565,22.368696,18.428333,14.951304
ASWAN/EGYPT,11562414000.000000,24.030000,32.880000,100.000000,15.988000,17.576923,22.271429,27.684615,31.730769,33.820690,34.337037,34.077778,32.080000,28.508000,21.832000,17.489286
GONDAR/ETHIOPIA,11763331000.000000,12.530000,37.430000,1966.000000,20.068750,21.306250,22.430769,22.746667,22.150000,19.941667,18.450000,18.553333,19.153846,19.800000,20.000000,19.721429
JIMMA/ETHIOPIA,11763402000.000000,7.670000,36.830000,1676.000000,18.667857,19.617857,20.689286,20.988462,20.600000,19.837500,19.116000,19.288462,19.744000,19.216000,18.329630,18.025000
ADDIS ABABA/ETHIOPIA,11763450000.000000,8.980000,38.800000,2324.000000,15.860714,16.944828,17.876667,18.172414,18.342857,17.276667,16.164286,15.986207,16.163333,15.914815,15.162069,15.020690
DIRE DAWA/ETHIOPIA,11763471000.000000,9.600000,41.870000,1146.000000,21.940741,23.321429,25.414815,26.346154,28.000000,28.873077,27.364286,26.740000,26.795833,25.485714,23.358621,21.782143
MOYALE/KENYA,12263619000.000000,3.530000,39.050000,1097.000000,24.775000,25.483333,25.294444,23.405556,21.822222,20.800000,20.147059,20.588889,21.811765,22.300000,22.333333,23.266667
ELDORET/KENYA,12263686000.000000,0.530000,35.280000,2133.000000,17.371429,17.873684,18.331579,17.933333,17.061111,16.321053,15.726316,15.875000,16.219048,17.431579,17.057895,16.771429
GARISSA/KENYA,12263723000.000000,-0.470000,39.630000,147.000000,29.183529,30.138333,30.831304,30.030500,28.916316,27.452857,26.878696,26.860500,27.961304,29.148261,29.054583,28.729048
NAIROBI/KENYA/KENYA,12263740000.000000,-1.320000,36.920000,1624.000000,20.747619,21.747500,22.076923,21.514167,20.438182,19.387826,18.212174,18.758095,20.036190,21.364348,20.751818,20.437895
MALINDI/KENYA,12263799000.000000,-3.230000,40.100000,23.000000,26.550000,26.845455,27.636842,27.040000,25.604348,24.805556,24.005882,24.147368,24.615789,25.363158,26.258824,26.711111
TRIPOLI/LIBYA,12462010000.000000,32.900000,13.200000,84.000000,11.879167,12.900000,15.248095,19.022727,23.209091,26.373913,28.204783,28.833333,26.757895,23.039130,17.536818,13.430870
SEBHA/LIBYA,12462124000.000000,27.020000,14.450000,432.000000,12.075000,14.723810,19.457143,24.454545,28.610526,32.328571,31.913043,31.794118,29.936842,25.083333,18.695000,13.410526
KUFRA/LIBYA,12462271000.000000,24.220000,23.300000,436.000000,13.754783,15.859500,20.354091,25.142381,29.327368,31.791667,32.156667,32.015263,29.961053,25.298182,19.356667,15.474500
DIEGO-SUAREZ/MADAGASCAR,12567009000.000000,-12.350000,49.300000,105.000000,26.140000,26.030000,26.519000,26.235455,25.479048,24.002105,23.289524,23.505333,24.272000,25.267368,26.193333,26.631765
ANTANANARIVO//MADAGASCAR,12567083000.000000,-18.800000,47.480000,1276.000000,20.966500,21.010556,20.925909,19.683333,17.518261,15.204545,14.370476,15.190000,16.867778,18.878000,20.011765,20.727895
TAMATAVE/MADAGASCAR,12567095000.000000,-18.120000,49.400000,6.000000,26.581250,26.802667,26.382000,25.015294,23.484000,21.593750,20.751818,21.008750,21.862500,23.303333,24.618750,25.842667
TULEAR/MADAGASCAR,12567161000.000000,-23.380000,43.730000,8.000000,28.100000,28.063158,27.363158,25.521053,23.400952,21.261111,20.737778,21.538824,22.848889,24.320000,25.937647,27.180000
CHILEKA/MALAWI,12667693000.000000,-15.680000,34.970000,767.000000,24.359259,24.070833,23.854583,22.953043,21.224800,19.488333,19.046667,20.865200,23.688800,25.520800,26.017500,24.992800
TESSALIT/MALI,12761202000.000000,20.200000,0.980000,491.000000,19.078571,22.766667,27.186667,31.068750,34.312500,36.475000,35.344444,33.975000,34.150000,31.357143,26.021429,22.131250
TOMBOUCTOU/MALI,12761223000.000000,16.720000,-3.000000,264.000000,21.415000,23.913043,27.976190,32.027273,34.445455,35.063158,32.494444,31.130435,31.827273,30.933333,25.821053,22.372727
NIORO DU SAHE/MALI,12761230000.000000,15.230000,-9.350000,237.000000,23.000000,26.122222,29.415789,33.205556,35.326316,33.678947,30.128571,28.477778,29.376471,30.350000,27.622222,23.744444
MENAKA/MALI,12761250000.000000,15.870000,2.220000,278.000000,23.891667,25.821429,30.535714,34.522222,35.450000,34.883333,32.940000,30.960000,32.110000,32.690909,27.616667,24.486667
KAYES/MALI,12761257000.000000,14.430000,-11.430000,47.000000,24.635000,28.088889,31.304545,34.633333,35.590000,33.187500,29.611111,28.189474,28.214286,29.792000,28.172222,25.605882
MOPTI/MALI,12761265000.000000,14.520000,-4.100000,272.000000,23.136111,25.982222,29.790000,32.729412,33.505500,31.629412,29.041053,27.442632,28.373333,29.388182,26.947059,23.749545
KITA/MALI,12761270000.000000,13.070000,-9.470000,334.000000,26.076471,28.982500,31.812857,33.753125,32.947500,29.848125,27.512308,26.435882,26.688824,27.875333,27.155000,25.830625
SEGOU/MALI,12761272000.000000,13.400000,-6.150000,289.000000,24.277778,27.223529,30.490909,33.042857,32.854545,30.661905,27.921053,26.707143,27.260000,28.959091,27.541176,24.684211
SAN/MALI,12761277000.000000,13.330000,-4.830000,284.000000,24.440909,27.486364,31.204348,33.238095,33.360870,30.956000,28.352632,27.186364,27.767857,29.695833,27.834783,24.926087
KENIEBA/MALI,12761285000.000000,12.850000,-11.230000,132.000000,27.121429,29.642857,32.152941,33.700000,33.350000,30.005556,27.523077,26.864706,26.970588,27.729412,26.216667,25.656250
BAMAKO/SENOU/MALI,12761291000.000000,12.530000,-7.950000,381.000000,24.004000,27.487333,30.392778,31.874286,30.668235,27.852353,25.527500,24.931429,25.665000,26.796842,26.325714,24.370667
KOUTIALA/MALI,12761293000.000000,12.380000,-5.470000,367.000000,24.226087,27.381818,30.778261,32.186364,31.227778,28.865000,26.625000,25.890000,26.552000,28.047826,26.960000,24.939130
BOUGOUNI/MALI,12761296000.000000,11.420000,-7.500000,351.000000,25.685000,28.422941,30.881111,31.695000,30.288750,27.938750,26.493077,26.001250,26.286667,27.081765,26.438750,24.833158
SIKASSO/MALI,12761297000.000000,11.350000,-5.680000,375.000000,25.128889,28.354000,30.577895,31.346250,29.816000,27.583750,25.877647,25.456667,25.620000,27.013684,26.725714,24.821053
NOUADHIBOU/MAURITANIA,12861415000.000000,20.930000,-17.030000,3.000000,18.821739,19.435294,19.928571,19.990909,20.736364,21.910000,22.735294,23.589474,24.473684,23.286667,21.884615,19.947368
NOUAKCHOTT/MAURITANIA,12861442000.000000,18.100000,-15.950000,3.000000,21.661538,23.010526,24.318182,24.372727,25.885000,27.313043,27.515000,28.609524,29.855000,28.588235,26.164706,22.881818
TIDJIKJA/MAURITANIA,12861450000.000000,18.570000,-11.430000,402.000000,20.200000,23.485714,26.242105,29.968750,33.326316,34.852941,33.307143,32.255556,32.443750,30.564286,26.115385,21.864706
BOUTILIMIT/MAURITANIA,12861461000.000000,17.530000,-14.680000,75.000000,22.058824,24.935714,26.557143,29.450000,33.031250,32.550000,30.260000,30.393750,31.250000,31.309091,27.466667,23.970588
NEMA/MAURITANIA,12861497000.000000,16.600000,-7.270000,269.000000,23.560870,26.778571,30.515000,34.317647,36.793333,35.842105,33.091667,31.088889,31.982353,32.953846,28.688889,24.845000
KIFFA/MAURITANIA,12861498000.000000,16.630000,-11.400000,115.000000,22.936364,25.943750,29.362500,33.631250,36.400000,36.023529,33.268750,31.654545,31.616667,31.966667,28.346154,23.947059
AIOUN EL ATRO/MAURITANIA,12861499000.000000,16.700000,-9.600000,223.000000,21.460000,25.588889,29.553333,32.900000,35.844444,35.627778,32.988235,30.941176,31.811765,31.840000,28.269231,23.818182
ST. BRANDON/MAURITIUS,12961986000.000000,-16.450000,59.620000,4.000000,27.986207,28.139286,28.246429,27.517857,26.178571,24.675000,23.696429,23.416000,23.848148,24.660714,25.903448,27.234483
RODRIGUES/MAURITIUS,12961988000.000000,-19.680000,63.420000,59.000000,26.894667,27.147333,27.070667,26.274000,24.810667,23.316207,22.330667,22.125000,22.515517,23.370667,24.577333,25.984000
MEKNES/MOROCCO,13060150000.000000,33.880000,-5.530000,549.000000,10.119231,11.360455,13.939630,15.197200,18.018400,22.537083,25.247727,25.346087,22.866667,19.352692,14.526923,11.366400
CASABLANCA/MOROCCO,13060155000.000000,33.570000,-7.670000,62.000000,12.757692,13.650000,15.369231,16.587500,18.572000,20.991304,22.860000,23.233333,22.240000,19.807407,16.500000,14.142857
MARRAKECH/MOROCCO,13060230000.000000,31.620000,-8.030000,466.000000,12.093478,14.037000,17.230000,18.650435,21.316522,25.168696,28.950000,28.339524,25.350000,21.726818,16.829600,13.536818
OUARZAZATE/MOROCCO,13060265000.000000,30.930000,-6.900000,1140.000000,9.065926,11.664348,15.656923,19.023478,22.360000,27.510909,30.752174,29.501739,25.537600,19.989600,14.285600,9.771304
BEIRA/MOZAMBIQUE,13167297000.000000,-19.800000,34.900000,16.000000,27.886364,27.778947,27.222222,25.625000,23.640909,21.595000,20.984211,21.695238,23.528571,25.150000,26.557143,27.347368
BILMA/NIGER,13361017000.000000,18.680000,12.920000,357.000000,16.790000,19.863636,24.945000,29.495000,33.021053,34.147368,34.240000,33.833333,32.100000,27.627273,21.800000,17.692000
AGADEZ/NIGER,13361024000.000000,16.970000,7.980000,502.000000,19.867500,23.287826,27.733750,32.248095,34.591739,34.334167,32.382381,31.137727,32.136800,30.210476,25.137273,21.368571
TILLABERY/NIGER,13361036000.000000,14.200000,1.450000,210.000000,23.824444,26.980000,31.210769,34.068889,34.440000,32.730000,30.139091,28.575455,30.060769,31.200833,28.442963,25.212000
TAHOUA/NIGER,13361043000.000000,14.900000,5.250000,391.000000,22.562963,25.848148,30.484615,33.775000,34.116667,32.391304,29.809524,28.492000,29.737037,30.816667,27.476000,23.944000
N'GUIGMI/NIGER,13361049000.000000,14.250000,13.120000,286.000000,20.684000,23.436842,28.790909,32.490909,33.720000,33.210000,31.126316,29.595238,30.568000,30.134783,25.892308,22.012500
NIAMEY-AERO/NIGER,13361052000.000000,13.480000,2.170000,227.000000,24.081739,27.299130,31.670000,34.355652,34.424000,32.086667,29.591579,28.162609,29.386957,31.178947,28.597500,25.119130
BIRNI-N'KONNI/NIGER,13361075000.000000,13.800000,5.250000,273.000000,23.234783,26.734783,31.012500,33.822727,34.042857,31.733333,29.495455,27.750000,28.788462,30.130435,27.688000,24.540000
MARADI/NIGER,13361080000.000000,13.470000,7.080000,373.000000,21.331818,24.583333,29.338462,32.695455,32.962500,31.130000,28.357143,27.150000,28.044444,29.023810,25.964000,22.492000
ZINDER/NIGER,13361090000.000000,13.780000,8.980000,453.000000,21.363636,24.245455,28.922727,32.761905,33.604167,32.025000,29.390476,27.927778,29.150000,30.085714,26.555000,22.658333
MAGARIA/NIGER,13361091000.000000,12.980000,8.930000,403.000000,20.030000,23.171429,27.968000,31.366667,32.330435,30.881250,28.111111,27.052381,28.068182,27.985000,24.210526,20.855000
MAINE-SOROA/NIGER,13361096000.000000,13.230000,11.980000,337.000000,20.695000,23.986364,28.732000,32.475000,33.056522,31.735000,28.961905,27.209524,28.495652,29.468421,25.938095,22.295000
GAYA/NIGER,13361099000.000000,11.880000,3.450000,203.000000,25.547368,29.245000,32.600000,33.930000,31.823810,29.558824,27.405556,26.594737,27.208696,29.068421,28.590000,26.510000
SAINT-LOUIS/SENEGAL,13761600000.000000,16.050000,-16.450000,4.000000,22.256667,23.253571,23.770800,23.389286,24.030769,25.994783,27.320870,27.912593,28.472963,28.077500,26.006296,23.402593
PODOR/SENEGAL,13761612000.000000,16.650000,-14.970000,7.000000,23.503571,25.977778,28.362963,30.486207,32.562500,32.633333,31.114815,30.551852,31.003571,31.400000,28.282143,24.623077
LINGUERE/SENEGAL,13761627000.000000,15.380000,-15.120000,21.000000,24.665862,26.952069,28.993077,30.794667,31.935385,31.364815,29.882222,28.892414,28.767407,30.312500,28.645185,25.542400
MATAM/SENEGAL,13761630000.000000,15.650000,-13.250000,17.000000,24.364444,27.478000,30.261600,33.257037,35.394074,34.358519,31.604000,30.050370,30.062222,31.423571,28.905714,25.554074
DAKAR/YOFF/SENEGAL,13761641000.000000,14.730000,-17.500000,24.000000,21.539630,21.092857,21.464231,21.791786,23.187778,25.931111,27.468966,27.655926,27.887143,27.916667,26.366667,23.771379
DIOURBEL/SENEGAL,13761666000.000000,14.650000,-16.230000,9.000000,24.587500,26.405833,28.014783,28.564615,29.549565,29.937200,29.052727,28.492174,28.502500,29.406957,27.990400,25.356154
KAOLACK/SENEGAL,13761679000.000000,14.130000,-16.070000,7.000000,26.046400,28.031852,29.842609,30.437778,30.756800,30.299200,29.543333,28.697391,28.820000,29.975200,28.941481,26.739167
TAMBACOUNDA/SENEGAL,13761687000.000000,13.770000,-13.680000,50.000000,26.124000,28.944444,31.343810,33.150385,33.576000,31.231250,28.560417,27.464400,27.516923,28.886667,28.113077,26.404400
ZIGUINCHOR/SENEGAL,13761695000.000000,12.550000,-16.270000,23.000000,24.262963,25.841379,26.996250,27.235556,27.887917,28.271250,27.120400,26.621923,26.780400,27.552400,26.401250,24.444583
KOLDA/SENEGAL,13761698000.000000,12.880000,-14.970000,10.000000,24.204545,27.103158,29.888421,31.518889,32.155714,30.555263,28.271053,27.344737,27.536667,28.268889,26.402941,23.622857
KEDOUGOU/SENEGAL,13761699000.000000,12.570000,-12.220000,167.000000,26.784211,29.750000,32.119048,34.059091,33.090476,29.804762,27.229412,26.631579,27.016667,28.093750,27.863636,26.357143
AGALEGA/SEYCHELLES,13861974000.000000,-10.430000,56.750000,3.000000,27.693333,27.826667,28.077586,28.106667,27.483333,26.308621,25.615517,25.532143,26.014286,26.577586,27.239655,27.715517
SEYCHELLES IN/SEYCHELLES,13863980000.000000,-4.670000,55.520000,3.000000,27.027586,27.659259,27.989286,28.255172,27.985185,26.858621,26.063333,26.114815,26.630000,27.037931,27.067857,27.096552
PIETERSBURG/SOUTH AFRICA,14168174000.000000,-23.870000,29.450000,1200.000000,21.976154,21.630000,20.456923,17.826154,14.741538,12.126000,11.760769,14.272308,17.499231,19.383846,20.368462,21.355926
PRETORIA/SOUTH AFRICA,14168262000.000000,-25.730000,28.180000,1322.000000,23.013793,22.896667,21.435714,18.800000,15.292857,12.310345,12.223077,15.358621,19.296429,20.796429,21.768966,22.338462
JAN SMUTS/SOUTH AFRICA,14168368000.000000,-26.130000,28.230000,1700.000000,20.573636,20.360000,19.059524,16.769091,13.700909,10.986190,10.944211,13.352857,16.824286,18.191429,19.113182,19.913182
UPINGTON/SOUTH AFRICA,14168424000.000000,-28.400000,21.270000,800.000000,28.023793,27.772069,25.458276,21.158276,16.647931,12.672069,12.486552,14.650333,18.506207,22.251034,24.674286,26.968276
KIMBERLEY/SOUTH AFRICA,14168438000.000000,-28.800000,24.770000,1200.000000,24.420000,23.435652,21.264444,17.462222,13.247407,9.662222,9.554815,12.430714,16.366429,19.458519,21.725926,23.506429
