,ID,Latitud,Longitud,Elevación,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
NAIROBI/KENYA/KENYA,12263740000.000000,-1.320000,36.920000,1624.000000,26.861429,28.634444,28.290000,26.230000,25.127500,24.002500,23.112222,24.561429,26.801111,26.540000,25.547143,25.991250
ST. BRANDON/MAURITIUS,12961986000.000000,-16.450000,59.620000,4.000000,31.771429,31.390000,31.529231,30.836923,29.269333,27.291429,26.302667,26.442667,27.088571,28.005714,29.670000,30.981429
RODRIGUES/MAURITIUS,12961988000.000000,-19.680000,63.420000,59.000000,29.764286,29.758333,29.876923,29.023077,27.746667,26.121429,25.100000,24.993333,25.464286,26.380000,27.818750,29.107143
PLAISANCE/MAURITIUS,12961990000.000000,-20.430000,57.670000,57.000000,29.938462,30.091667,29.766667,28.823077,27.271429,25.415385,24.466667,24.586667,25.478571,26.653333,28.250000,29.664286
MEKNES/MOROCCO,13060150000.000000,33.880000,-5.530000,549.000000,15.971667,17.713333,21.101538,21.955556,25.971667,31.580000,34.587273,34.036923,29.950909,25.956667,20.244615,17.055385
CASABLANCA/MOROCCO,13060155000.000000,33.570000,-7.670000,62.000000,17.485714,17.350000,20.126667,20.563636,22.285714,24.864286,25.946154,26.533333,25.853333,24.153333,21.092308,18.700000
MARRAKECH/MOROCCO,13060230000.000000,31.620000,-8.030000,466.000000,18.531429,19.878182,23.853750,25.668333,28.802857,33.528750,37.390769,36.435000,32.231429,28.195714,22.931429,19.302857
OUARZAZATE/MOROCCO,13060265000.000000,30.930000,-6.900000,1140.000000,17.446154,18.955556,23.500000,27.470000,30.676923,35.723077,38.871429,37.707143,33.014286,27.392857,21.861538,17.650000
LINGUERE/SENEGAL,13761627000.000000,15.380000,-15.120000,21.000000,33.222222,35.958333,37.687500,40.676923,41.508333,39.800000,36.445455,34.238462,34.423077,38.050000,37.623077,34.818182
AGALEGA/SEYCHELLES,13861974000.000000,-10.430000,56.750000,3.000000,31.471429,31.241667,31.584615,31.584615,30.786667,29.492308,28.785714,28.900000,29.584615,30.185714,30.853333,31.564286
SEYCHELLES IN/SEYCHELLES,13863980000.000000,-4.670000,55.520000,3.000000,30.108333,30.638462,31.350000,31.733333,31.014286,29.484615,28.646667,28.908333,29.242857,30.073333,30.546667,30.428571
PIETERSBURG/SOUTH AFRICA,14168174000.000000,-23.870000,29.450000,1200.000000,28.674667,28.514667,27.374667,25.468000,23.402000,20.862857,20.688276,23.118667,26.162000,26.973667,27.286552,28.043667
MARA/SOUTH AFRICA,14168176000.000000,-23.150000,29.570000,900.000000,30.450000,29.834286,29.210000,27.553333,25.491429,23.234286,22.891429,25.053333,27.720000,28.343810,29.148571,30.071000
MACUVILLE (ME/SOUTH AFRICA,14168180000.000000,-22.270000,29.900000,500.000000,32.994118,32.255556,32.033333,29.923529,27.652941,25.223529,24.905882,27.205882,29.881250,31.100000,32.206250,33.025000
MARICO - IRR/SOUTH AFRICA,14168250001.000000,-25.500000,26.350000,-999.000000,31.275000,31.160000,29.260000,26.853846,24.133333,21.382143,21.439286,24.017857,28.925000,29.765385,30.360714,31.103571
BUFFELSPOORT II AGR/SOUTH AFRICA,14168252001.000000,-25.750000,27.480000,-999.000000,29.931818,29.476190,28.122727,25.785714,23.330000,20.523810,20.638095,23.480952,27.147619,28.114286,28.768421,29.200000
PRETORIA/SOUTH AFRICA,14168262000.000000,-25.730000,28.180000,1322.000000,29.168182,28.772727,27.553571,25.239286,22.789286,20.954167,20.577273,23.796154,27.620833,28.688462,28.478571,28.672727
PRETORIA - UNIV PROE/SOUTH AFRICA,14168262001.000000,-25.750000,28.270000,-999.000000,28.009091,27.723810,26.580952,24.247619,21.776190,19.123810,19.145000,21.780952,25.123810,26.100000,26.671429,27.200000
IRENE - WK/SOUTH AFRICA,14168263001.000000,-25.920000,28.220000,-999.000000,27.383333,27.061111,25.911111,23.766667,21.400000,18.583333,18.744444,21.200000,24.988889,25.523529,26.047059,26.541176
WARMBATHS (TO/SOUTH AFRICA,14168268000.000000,-24.900000,28.330000,1100.000000,30.071429,29.661905,28.504762,26.665000,24.133333,21.535000,21.640000,24.355000,28.230000,29.070000,29.326316,29.500000
SKUKUZA/SOUTH AFRICA,14168296000.000000,-24.980000,31.600000,0.000000,31.320000,31.163684,30.326842,28.832778,26.926842,25.279474,24.819474,26.124737,28.186316,28.803158,29.818947,30.958889
ARMOEDSVLAKTE - AGR/SOUTH AFRICA,14168338001.000000,-26.950000,24.630000,1250.000000,32.510526,31.047368,29.510526,26.788889,23.289474,19.942105,20.166667,23.036842,27.221053,28.826316,30.847368,32.144444
POTCHEFSTROOM/SOUTH AFRICA,14168350000.000000,-26.730000,27.070000,1300.000000,29.535294,28.829412,27.252941,24.858824,22.258824,19.037500,19.475000,22.175000,26.412500,27.273333,28.312500,29.200000
JAN SMUTS/SOUTH AFRICA,14168368000.000000,-26.130000,28.230000,1700.000000,25.700000,25.273684,24.100000,21.545000,19.373684,16.431579,16.827778,19.578947,22.742105,23.538095,24.509524,25.150000
ZWARTKOPJES - RWB/SOUTH AFRICA,14168369002.000000,-26.350000,28.070000,-999.000000,27.961538,27.530769,25.792857,23.762500,21.186667,18.307143,18.869231,20.920000,25.271429,25.669231,26.457143,27.309091
ZUURBEKOM - RWB/SOUTH AFRICA,14168369003.000000,-26.300000,27.800000,-999.000000,27.400526,26.742000,25.360000,23.333684,20.896667,18.084706,18.690588,21.108235,24.086316,25.420500,25.661667,26.469412
NOOITGEDACHT - AGR/SOUTH AFRICA,14168370001.000000,-26.520000,29.970000,-999.000000,24.215000,23.895000,23.150000,21.157143,18.847619,16.435000,16.547619,19.085714,22.261111,22.184211,23.021053,23.777778
VOLKSRUST - MUN/SOUTH AFRICA,14168378001.000000,-27.370000,29.880000,-999.000000,25.168421,24.910625,23.705556,21.550000,18.831579,16.701500,16.716667,19.142105,22.233333,22.661176,23.726316,24.768421
ALEXANDER BAY/SOUTH AFRICA,14168406000.000000,-28.570000,16.530000,21.000000,24.019500,23.973158,23.710526,23.709474,22.767895,21.821111,21.015556,20.828235,21.048333,21.580588,22.170556,23.220000
PORT NOLLOTH/SOUTH AFRICA,14168408000.000000,-29.230000,16.870000,4.000000,19.933750,20.195556,19.726667,19.320000,18.793684,18.532222,18.198889,17.708750,17.280000,17.737895,18.782222,19.734444
UPINGTON/SOUTH AFRICA,14168424000.000000,-28.400000,21.270000,800.000000,35.678261,35.185714,32.929167,28.752174,24.913043,21.356522,21.191304,23.527273,27.252174,30.240000,32.469565,34.837500
KIMBERLEY/SOUTH AFRICA,14168438000.000000,-28.800000,24.770000,1200.000000,32.996429,31.707143,29.296552,25.532143,22.006897,18.779310,18.896552,21.833333,25.963333,28.406667,30.486207,32.226667
KOOPMANSFONTEIN II -/SOUTH AFRICA,14168438001.000000,-28.200000,24.070000,-999.000000,32.035000,30.291500,28.466500,25.457222,21.823889,18.402222,18.480000,21.274444,25.652500,27.296471,29.749412,30.961176
BLOEMFONTEIN/SOUTH AFRICA,14168442000.000000,-29.100000,26.300000,1400.000000,31.614138,30.325714,28.275714,24.831379,21.565862,18.438276,18.696897,21.257857,25.376207,27.334828,28.814138,31.114138
GLEN COLLEGE - AGR/SOUTH AFRICA,14168442001.000000,-28.950000,26.330000,-999.000000,31.285714,29.831818,27.695455,24.315000,21.166667,18.023810,18.080952,20.876190,24.733333,26.514286,28.142857,30.305000
BETHLEHEM AIR/SOUTH AFRICA,14168461000.000000,-28.250000,28.330000,1700.000000,26.128571,25.741667,24.130769,21.807692,18.853846,16.616667,16.350000,19.261538,22.953846,24.000000,24.386667,25.873333
ESTCOURT/SOUTH AFRICA,14168478000.000000,-29.000000,29.880000,1100.000000,27.818182,27.228571,26.152381,24.086364,21.766667,19.219048,19.438095,21.519048,24.185714,24.261905,25.971429,27.066667
CAPE ST. LUCI/SOUTH AFRICA,14168496000.000000,-28.500000,32.400000,107.000000,27.677727,27.741364,27.127500,25.377727,23.584000,21.767143,21.351429,21.932381,22.703810,23.432381,24.803810,26.584762
VANWYKSVLEI/SOUTH AFRICA,14168524000.000000,-30.350000,21.820000,1000.000000,35.066667,34.480000,31.789474,26.750000,22.752632,19.250000,18.717647,22.023529,25.405556,28.570000,31.140000,33.505263
DE AAR/SOUTH AFRICA,14168538000.000000,-30.650000,24.020000,1200.000000,32.545000,31.009524,28.530000,24.290000,20.510526,16.700000,17.290000,19.514286,23.485714,26.330000,29.025000,31.360000
CEDARA/SOUTH AFRICA,14168580000.000000,-29.530000,30.280000,1100.000000,25.272727,25.155000,24.804545,23.277273,21.225000,19.342857,19.650000,21.095000,22.404762,22.266667,23.552381,24.860000
PORT SHEPSTON/SOUTH AFRICA,14168584000.000000,-30.730000,30.450000,17.000000,26.600000,26.880000,26.331250,25.000000,23.773333,22.046667,21.693333,21.560000,22.040000,22.640000,24.306667,25.660000
DURBAN (LOUIS/SOUTH AFRICA,14168588000.000000,-29.970000,30.950000,14.000000,27.824138,28.380000,27.706667,26.343333,24.882759,23.244828,22.813793,23.144828,23.462069,24.037931,25.529630,26.892857
VREDENDAL/SOUTH AFRICA,14168614000.000000,-31.670000,18.500000,34.000000,30.570476,31.439545,30.453182,28.128000,24.788571,21.736667,21.055714,22.255714,24.131905,26.589048,28.022381,29.413000
CALVINIA/SOUTH AFRICA,14168618000.000000,-31.470000,19.770000,1000.000000,31.312000,31.672000,29.342308,25.233333,20.972000,17.187500,16.892000,18.400000,21.612000,24.815385,27.442308,29.596154
FRASERBURG/SOUTH AFRICA,14168624000.000000,-31.920000,21.520000,1300.000000,30.922727,30.250000,27.609091,23.090909,19.090909,15.495000,15.168421,17.804762,21.000000,24.023810,26.780952,29.280952
CAPE HERMES - VRT/SOUTH AFRICA,14168674001.000000,-31.630000,29.550000,-999.000000,25.340000,25.531579,25.110000,23.955000,23.360000,21.952632,21.542105,21.370000,21.400000,21.694444,23.052632,24.447368
CAPE COLUMBIN/SOUTH AFRICA,14168712000.000000,-32.830000,17.850000,60.000000,21.563636,21.913636,21.028571,20.200000,18.527273,16.823810,16.320000,16.835000,17.742857,19.095238,20.100000,21.409524
LANGGEWENS - AGR/SOUTH AFRICA,14168714001.000000,-33.280000,18.700000,-999.000000,30.018182,30.859091,29.033333,25.438095,21.485714,17.819048,16.980952,18.080000,20.405000,24.390476,26.847619,28.928571
SUTHERLAND/SOUTH AFRICA,14168722000.000000,-32.380000,20.670000,1500.000000,27.520000,27.370000,24.994444,20.747059,16.868421,12.978947,12.478947,14.742105,17.530000,20.710000,23.468421,25.715000
GREAT FISH POINT - V/SOUTH AFRICA,14168752001.000000,-33.530000,27.100000,-999.000000,24.377778,23.970588,23.072222,22.311765,21.994118,20.752941,20.466667,19.800000,20.082353,20.211765,21.452941,23.127778
BATHURST - AGR/SOUTH AFRICA,14168752002.000000,-33.520000,26.820000,-999.000000,26.710909,27.206364,26.156364,24.965714,23.680000,21.801000,21.532381,21.641905,22.213333,22.519000,23.874000,25.560952
DOHNE/SOUTH AFRICA,14168754000.000000,-32.520000,27.470000,900.000000,24.985714,25.123810,24.115000,22.800000,20.905000,18.580000,18.585000,19.755000,21.436842,21.350000,22.645000,24.140000
CAPETOWN/SOUTH AFRICA,14168816000.000000,-33.900000,18.500000,12.000000,26.386957,26.929167,25.586957,23.204545,20.573913,18.165217,17.665217,18.047826,19.560870,21.716667,23.541667,25.182609
KIRSTENBOSCH - BOT/SOUTH AFRICA,14168816001.000000,-33.980000,18.430000,-999.000000,24.452000,24.772000,23.945333,22.105000,19.892500,17.256000,16.838571,17.210000,18.609333,20.636000,22.009333,23.569333
CAPE TOWN-SAAO:CSIR/SOUTH AFRICA,14168816002.000000,-33.930000,18.480000,12.000000,27.030000,27.285714,26.150000,23.511111,20.677778,18.390476,17.723810,18.414286,19.740000,22.366667,24.204762,25.826667
GEORGE AIRPOR/SOUTH AFRICA,14168828000.000000,-34.000000,22.380000,193.000000,24.738462,25.350000,24.546154,22.908333,21.808333,19.725000,19.383333,19.091667,19.758333,21.092308,22.130769,23.530769
PORT ELIZABET/SOUTH AFRICA,14168842000.000000,-33.980000,25.600000,61.000000,25.636000,25.884615,24.729630,23.434615,22.319231,20.388462,20.023077,20.024000,20.384000,21.226923,22.716000,24.276923
EAST LONDON/SOUTH AFRICA,14168858000.000000,-33.030000,27.830000,125.000000,25.710000,26.103333,25.213793,24.066667,23.286207,21.585714,21.444828,21.383333,21.535714,21.903333,23.182759,24.565517
GOUGH ISLAND/SOUTH AFRICA,14168906000.000000,-40.350000,-9.880000,54.000000,17.681818,17.931818,17.265217,15.659091,13.485714,12.569565,11.991304,11.431818,11.604762,13.305263,14.714286,16.733333
CAPE AGULHAS/SOUTH AFRICA,14168920000.000000,-34.830000,20.020000,8.000000,24.152381,23.771429,22.386364,20.428571,18.976190,17.671429,16.776190,17.028571,17.976190,19.476190,21.433333,23.200000
CAPE ST. BLAIZE - VR/SOUTH AFRICA,14168928001.000000,-34.180000,22.150000,61.000000,23.745000,23.510000,22.511111,21.405263,20.773684,19.805263,19.005263,18.840000,18.985000,19.752632,21.063158,22.731579
CAPE ST. FRAN/SOUTH AFRICA,14168938000.000000,-34.200000,24.830000,7.000000,22.995000,22.726316,21.260000,20.000000,20.005000,19.165000,18.555000,18.245000,18.125000,18.790000,20.065000,21.770000
MARION ISLAND/SOUTH AFRICA,14168994000.000000,-46.880000,37.870000,22.000000,10.806667,11.343704,10.488148,9.603462,7.973333,7.025185,6.704074,6.326296,6.619231,7.654074,9.028889,9.862593
ST. HELENA IS./BRITISH OVERSEAS TERRITORIES,14761901000.000000,-16.000000,-5.700000,627.000000,22.455833,23.726364,23.755833,22.680000,21.647500,20.004000,18.735385,17.873333,18.035385,18.553636,19.659000,21.039167
WADI HALFA/SUDAN,14862600000.000000,21.920000,31.320000,126.000000,23.750000,25.950000,30.338889,35.858824,39.635294,40.977778,41.164706,41.226316,39.594737,36.244444,30.441176,24.947059
ABU HAMED/SUDAN,14862640000.000000,19.530000,33.320000,312.000000,28.533333,31.000000,34.822222,39.235294,42.213333,43.629412,42.666667,42.863158,42.910526,39.677778,34.277778,30.005556
PORT SUDAN/SUDAN,14862641000.000000,19.580000,37.220000,2.000000,27.648571,28.198750,29.640000,32.767500,36.362667,40.014118,42.078824,41.783750,39.202353,34.907778,31.833750,29.046250
KHARTOUM/SUDAN,14862721000.000000,15.600000,32.550000,380.000000,31.244444,33.447059,37.055556,40.576471,42.023529,41.305556,38.633333,37.784211,38.994737,39.594444,35.764706,32.450000
KASSALA/SUDAN,14862730000.000000,15.470000,36.400000,500.000000,34.418750,35.423529,38.429412,41.017647,41.620000,39.961111,36.666667,35.589474,36.883333,38.912500,37.262500,34.727778
ED DUEIM/SUDAN,14862750000.000000,14.000000,32.330000,378.000000,31.500000,33.876471,37.482353,40.641176,41.475000,39.752941,36.688889,35.150000,36.615789,38.433333,36.111765,32.777778
WAD MEDANI/SUDAN,14862751000.000000,14.400000,33.480000,408.000000,33.312500,35.611765,38.766667,41.487500,41.858824,40.394444,36.650000,35.473684,36.247368,38.611765,37.272222,34.435294
GEDAREF/SUDAN,14862752000.000000,14.030000,35.400000,599.000000,35.087500,36.977778,39.811111,41.758824,41.170588,38.282353,34.405556,33.105263,34.655556,37.261111,37.725000,35.816667
EL FASHER/SUDAN,14862760000.000000,13.620000,25.330000,730.000000,30.026667,32.576667,35.610000,38.112941,39.442353,38.993333,36.393333,35.082222,36.417895,36.542353,33.337778,30.443333
EL OBEID/SUDAN,14862771000.000000,13.170000,30.230000,574.000000,30.086667,32.886667,36.086667,38.956250,39.725000,37.912500,34.175000,33.094118,34.905882,37.093333,34.166667,31.126667
NYALA/SUDAN,14862790000.000000,12.050000,24.880000,674.000000,30.462308,33.207857,36.246923,38.316154,38.891818,37.110000,33.109167,32.656000,33.852857,35.900833,33.839231,30.770000
KADUGLI/SUDAN,14862810000.000000,11.000000,29.720000,499.000000,34.820000,36.853333,39.200000,40.146667,38.385714,34.886667,31.806667,31.575000,33.218750,35.666667,37.042857,35.173333
MALAKAL/SUDAN,14862840000.000000,9.550000,31.650000,388.000000,36.114286,37.978571,39.993333,39.706667,36.878571,33.328571,31.584615,31.515385,32.585714,34.585714,36.361538,35.960000
WAU/SUDAN,14862880000.000000,7.700000,28.020000,438.000000,35.438462,37.385714,38.623077,38.030769,35.607692,33.307692,32.038462,31.976923,32.816667,34.380000,35.600000,35.375000
JUBA/SUDAN,14862941000.000000,4.870000,31.600000,457.000000,36.890667,38.025714,37.354286,35.511429,33.024000,32.156000,31.202857,31.460000,32.916000,33.602857,34.696000,36.210000
TUNIS-CARTHAG/TUNISIA,15260715000.000000,36.830000,10.230000,4.000000,15.793077,16.411667,19.016154,21.846923,26.455714,31.216154,33.762857,34.003333,29.612857,26.183333,20.810000,16.963333
JENDOUBA/TUNISIA,15260725000.000000,36.480000,8.800000,144.000000,15.242308,16.288333,19.273077,22.350000,28.367143,34.126923,36.917857,36.682667,31.282143,27.036000,20.482667,16.269333
KAIROUAN/TUNISIA,15260735000.000000,35.670000,10.100000,68.000000,17.376923,18.533333,21.600000,24.800000,29.885714,35.346154,38.321429,38.107692,32.028571,28.153333,22.573333,18.586667
GAFSA/TUNISIA,15260745000.000000,34.420000,8.820000,314.000000,15.481818,16.866667,21.372727,25.500000,30.414286,35.784615,38.545455,38.108333,32.135714,27.653333,20.876923,16.293333
GABES/TUNISIA,15260765000.000000,33.880000,10.100000,5.000000,16.944444,18.190000,20.170000,23.163636,26.083333,29.510000,31.800000,32.827273,30.610000,28.000000,22.800000,17.966667
IZANA/CANARY ISLANDS (SPAIN),15960010000.000000,28.300000,-16.500000,2368.000000,7.278333,8.640000,10.516000,12.656000,14.746000,19.106000,22.940909,22.617778,18.397500,14.068182,11.026000,9.106000
TENERIFE/LOS/CANARY ISLANDS (SPAIN),15960015000.000000,28.470000,-16.320000,617.000000,15.790000,16.508182,18.223333,18.108182,20.062727,22.048333,24.240000,25.560000,24.170000,22.717273,19.540000,17.226364
SANTA CRUZ DE/CANARY ISLANDS (SPAIN),15960020000.000000,28.450000,-16.250000,36.000000,21.178571,21.476923,22.484615,22.928571,24.300000,26.485714,28.771429,28.950000,28.023077,26.690909,24.169231,22.200000
LAS PALAMAS (GANDO)/CANARY ISLANDS (SPAIN),15960030000.000000,27.900000,-15.300000,25.000000,21.251111,21.761250,22.717778,23.273000,24.227273,25.763000,27.466364,27.756000,27.202727,26.432222,24.526000,22.511818
FUERTEVENTURA/CANARY ISLANDS (SPAIN),15960035000.000000,28.450000,-13.870000,23.000000,20.875000,21.445000,22.827500,23.385455,24.212727,26.269167,27.218000,27.588462,27.546667,26.190833,23.867692,21.905000
DIEGO GARCIA/CHAGOS ARCHIPELAGO (U.K.),16161967000.000000,-7.300000,72.400000,3.000000,30.278571,30.426667,31.184615,31.250000,30.546154,29.616667,28.746154,28.653846,29.075000,29.592308,30.235714,30.635714
VILLA CISNERO/WESTERN SAHARA (MOROCCO),16960096000.000000,23.700000,-15.870000,10.000000,21.552727,21.148889,22.534000,22.028571,22.575000,23.385714,24.377143,24.677778,25.755000,25.358000,24.020000,22.450000
