,ID,Latitud,Longitud,Elevación,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
MOUNDOU/CHAD,11064706000.000000,8.620000,16.070000,422.000000,0.000000,0.000000,2.281250,26.656250,104.343750,150.566667,223.017647,244.842857,179.300000,54.320000,0.153846,0.307692
POINTE-NOIRE/CONGO,11264400000.000000,-4.820000,11.900000,17.000000,158.192000,223.718182,207.308333,118.095833,41.115000,1.544444,0.306667,2.813636,15.400000,73.655000,200.114286,160.266667
LOUBOMO/CONGO,11264401000.000000,-4.200000,12.700000,330.000000,131.386364,146.977273,208.466667,178.800000,94.447368,0.394118,0.417647,0.275000,10.829412,79.138095,205.728571,194.052381
MOUYONDZI/CONGO,11264402000.000000,-3.980000,13.920000,512.000000,160.063158,133.263158,162.689474,194.400000,104.170588,0.792857,2.406667,0.777778,30.412500,156.768750,251.733333,197.452632
SIBITI/CONGO,11264405000.000000,-3.680000,13.350000,531.000000,160.000000,172.833333,178.000000,197.625000,118.300000,6.000000,1.000000,2.142857,23.666667,94.714286,282.111111,222.818182
BRAZZAVILLE //CONGO,11264450000.000000,-4.250000,15.250000,316.000000,153.025000,141.950000,188.161538,184.131818,124.173913,8.910526,3.389474,7.177778,33.892000,143.925000,260.988000,188.759091
MAKOUA/CONGO,11264456000.000000,-0.020000,15.580000,379.000000,87.075000,114.450000,131.806250,161.750000,162.285714,92.092857,64.288235,59.871429,198.900000,246.082353,185.642857,118.788235
OUESSO/CONGO,11264458000.000000,1.620000,16.050000,352.000000,39.578261,64.200000,116.733333,130.119048,168.129412,150.336364,112.590000,170.390909,238.119048,219.360000,154.057143,80.472727
BONDOUKOU/COTE D'IVOIRE,11365545000.000000,8.050000,-2.780000,370.000000,6.845000,18.226087,84.480000,140.013636,165.712500,155.881818,101.195000,83.075000,169.916667,105.711111,27.500000,10.321053
GAGNOA/COTE D'IVOIRE,11365557000.000000,6.130000,-5.950000,210.000000,14.942857,59.135000,122.547619,195.004545,188.044000,183.578261,81.904762,91.347368,148.877778,150.152632,105.816667,38.300000
DALOA/COTE D'IVOIRE,11365560000.000000,6.870000,-6.470000,277.000000,8.126316,52.416667,92.577778,122.123529,126.084211,117.405263,98.668750,173.168421,170.550000,132.488235,44.368421,19.194118
DIMBOKRO/COTE D'IVOIRE,11365562000.000000,6.650000,-4.700000,92.000000,11.195238,37.159091,103.895652,123.377273,139.461905,175.442857,85.233333,71.484211,111.765000,140.576190,49.880000,14.431579
ABIDJAN/COTE D'IVOIRE,11365578000.000000,5.250000,-3.930000,8.000000,16.955000,32.042105,104.000000,153.300000,303.660000,435.825000,133.452632,40.352632,86.085714,154.852632,132.319048,69.183333
ADIAKE/COTE D'IVOIRE,11365585000.000000,5.300000,-3.300000,39.000000,23.155556,54.227778,98.194444,122.970000,279.440909,418.255556,160.870588,62.966667,114.168421,188.677778,131.166667,48.825000
TABOU/COTE D'IVOIRE,11365592000.000000,4.420000,-7.370000,21.000000,38.695455,42.033333,64.895652,132.256522,352.856000,429.882609,206.238889,192.780000,266.157895,200.343478,141.150000,118.633333
SAN PEDRO/COTE D'IVOIRE,11365594000.000000,4.750000,-6.650000,30.000000,16.990476,30.035000,69.694444,111.815000,246.452381,327.644444,117.264706,74.550000,69.870588,123.400000,115.800000,58.775000
SASSANDRA/COTE D'IVOIRE,11365599000.000000,4.950000,-6.080000,66.000000,28.561905,26.076190,43.115000,114.805000,241.296000,375.047826,126.865000,51.385000,38.585000,120.515000,119.531818,66.936842
MERSA MATRUH/EGYPT,11562306000.000000,31.330000,27.220000,28.000000,34.800000,25.730769,10.464286,3.000000,1.200000,0.034783,0.000000,0.000000,0.480000,13.380952,15.880000,31.120000
ASWAN/EGYPT,11562414000.000000,24.030000,32.880000,100.000000,0.150000,0.000000,0.684211,0.315789,0.250000,0.000000,0.000000,0.000000,0.000000,0.428571,0.000000,0.150000
GONDAR/ETHIOPIA,11763331000.000000,12.530000,37.430000,1966.000000,3.217391,3.937500,16.860000,30.163636,83.988000,158.060870,282.168182,268.473913,107.270833,55.517391,18.265217,7.456522
JIMMA/ETHIOPIA,11763402000.000000,7.670000,36.830000,1676.000000,39.951724,49.017857,91.818519,122.448276,185.296296,203.640741,220.685714,211.769231,187.882143,106.815385,68.472414,49.883333
ADDIS ABABA/ETHIOPIA,11763450000.000000,8.980000,38.800000,2324.000000,15.103704,39.944444,66.213793,90.203448,75.724138,131.130000,257.767857,287.113793,158.973333,36.332143,9.211111,11.681481
DIRE DAWA/ETHIOPIA,11763471000.000000,9.600000,41.870000,1146.000000,23.496552,26.196296,77.650000,111.582759,62.692308,23.742857,83.239286,108.853846,69.215385,30.829630,15.775862,7.038462
KUMASI/GHANA,11965442000.000000,6.720000,-1.600000,293.000000,17.520000,53.866667,107.686957,147.555556,159.503571,192.629167,137.208333,85.419231,163.159259,151.033333,44.908333,32.975000
TAKORADI/GHANA,11965467000.000000,4.880000,-1.770000,9.000000,15.986957,29.030435,55.117391,104.022222,205.750000,235.216667,95.952174,53.480769,69.300000,127.533333,55.996154,21.408333
ACCRA/GHANA,11965472000.000000,5.600000,-0.170000,69.000000,10.980000,15.587500,49.939130,81.234615,139.600000,149.795833,74.025000,23.761538,49.519231,60.883333,32.653846,26.750000
MOYALE/KENYA,12263619000.000000,3.530000,39.050000,1097.000000,15.978947,21.828571,54.126316,198.700000,131.433333,20.304545,14.188235,12.933333,17.078947,74.644444,91.385714,41.886364
ELDORET/KENYA,12263686000.000000,0.530000,35.280000,2133.000000,37.447619,31.660000,76.195833,147.868000,112.791304,102.450000,174.990909,161.435000,72.630435,64.631818,66.118182,34.328571
GARISSA/KENYA,12263723000.000000,-0.470000,39.630000,147.000000,9.860000,2.266667,41.563636,75.682609,12.165000,5.280952,3.630000,6.515789,6.276190,32.178261,92.424000,61.118182
NAIROBI/KENYA/KENYA,12263740000.000000,-1.320000,36.920000,1624.000000,61.571429,40.665385,81.266667,137.038462,100.140000,24.713043,11.640909,10.809091,13.572727,47.416000,109.152174,96.791667
MALINDI/KENYA,12263799000.000000,-3.230000,40.100000,23.000000,9.015789,1.952381,41.552632,176.559091,311.252174,148.918182,103.133333,62.640000,49.545455,88.881818,58.647368,33.023810
TRIPOLI/LIBYA,12462010000.000000,32.900000,13.200000,84.000000,62.296296,28.782609,20.791667,14.080000,3.043478,0.260870,0.320000,0.173913,5.217391,27.960000,44.269231,56.560000
MISURATA/LIBYA,12462016000.000000,32.420000,15.050000,32.000000,64.735000,26.422222,19.966667,8.833333,6.506250,1.606667,0.066667,0.566667,9.966667,41.715000,44.210000,60.557895
SIRTE/LIBYA,12462019000.000000,31.200000,16.580000,14.000000,38.800000,17.064706,17.416667,3.843750,3.581250,1.252632,0.000000,0.427778,5.312500,23.160000,24.740909,46.317647
SHAHAT/LIBYA,12462056000.000000,32.820000,21.850000,625.000000,115.244444,97.438462,56.462500,23.907143,12.776923,0.057143,2.268750,1.133333,8.291667,51.623529,70.850000,111.462500
SEBHA/LIBYA,12462124000.000000,27.020000,14.450000,432.000000,1.069565,0.582609,1.650000,0.768182,0.672727,0.090909,0.000000,0.000000,0.315789,0.748000,0.285000,0.563158
KUFRA/LIBYA,12462271000.000000,24.220000,23.300000,436.000000,0.363636,0.000000,0.272727,0.000000,0.000000,0.000000,0.047619,0.000000,0.000000,0.083333,0.347826,0.421053
DIEGO-SUAREZ/MADAGASCAR,12567009000.000000,-12.350000,49.300000,105.000000,335.529412,308.444444,156.952381,66.142857,17.095238,20.700000,17.142857,17.764706,7.176471,17.117647,33.176471,168.555556
ANTANANARIVO//MADAGASCAR,12567083000.000000,-18.800000,47.480000,1276.000000,370.085000,309.105263,194.050000,53.857143,21.550000,3.600000,7.952381,6.711111,9.288889,72.476190,131.611111,302.111111
TAMATAVE/MADAGASCAR,12567095000.000000,-18.120000,49.400000,6.000000,366.658824,379.625000,479.105263,357.693750,332.015000,279.058824,273.318182,213.250000,141.753333,127.289474,138.812500,320.533333
TULEAR/MADAGASCAR,12567161000.000000,-23.380000,43.730000,8.000000,89.529412,100.100000,46.600000,18.368421,9.450000,11.555556,5.000000,3.375000,8.352941,9.555556,18.944444,82.833333
CHILEKA/MALAWI,12667693000.000000,-15.680000,34.970000,767.000000,221.133333,165.869565,135.428571,38.130435,8.076923,1.650000,1.786957,0.743478,5.590909,31.626087,99.395000,153.486957
TESSALIT/MALI,12761202000.000000,20.200000,0.980000,491.000000,1.777778,1.411111,0.164286,0.764706,2.956250,7.168421,21.381818,25.478947,10.550000,0.833333,0.000000,0.000000
TOMBOUCTOU/MALI,12761223000.000000,16.720000,-3.000000,264.000000,1.495652,0.153846,0.230769,1.264000,3.625000,16.925000,52.304545,62.657692,26.847826,7.869565,0.165217,0.230769
NIORO DU SAHE/MALI,12761230000.000000,15.230000,-9.350000,237.000000,0.652381,0.295238,0.010000,2.354545,10.138095,48.115000,113.400000,156.709091,88.600000,26.176190,0.047619,0.714286
MENAKA/MALI,12761250000.000000,15.870000,2.220000,278.000000,0.000000,0.000000,0.388889,0.706667,8.019048,20.585000,72.043750,83.515000,25.815789,3.244444,0.005263,0.005556
KAYES/MALI,12761257000.000000,14.430000,-11.430000,47.000000,0.154545,0.900000,0.225000,0.205000,8.960000,71.086957,129.890909,219.900000,127.281818,40.857692,0.263158,0.190476
MOPTI/MALI,12761265000.000000,14.520000,-4.100000,272.000000,1.369231,0.000000,1.248000,2.228000,14.921429,46.208333,130.150000,156.350000,75.170370,17.696429,0.566667,0.000000
KITA/MALI,12761270000.000000,13.070000,-9.470000,334.000000,0.450000,0.227273,1.690476,10.911111,40.525000,132.509091,205.191304,268.787500,167.182609,58.819048,2.057143,0.391304
SEGOU/MALI,12761272000.000000,13.400000,-6.150000,289.000000,0.050000,0.000000,0.759091,7.369565,39.260000,79.360870,168.917391,197.990000,108.824000,20.386957,1.285714,0.000000
SAN/MALI,12761277000.000000,13.330000,-4.830000,284.000000,1.220833,0.250000,1.579167,6.386957,31.232000,82.536000,186.983333,217.096296,124.475000,30.853846,0.240000,0.120000
KENIEBA/MALI,12761285000.000000,12.850000,-11.230000,132.000000,0.736842,0.000000,0.968421,3.670588,45.889474,154.610526,268.400000,301.790000,225.984211,65.980000,3.218750,0.045455
BAMAKO/SENOU/MALI,12761291000.000000,12.530000,-7.950000,381.000000,0.040000,0.000000,4.472727,18.211111,61.750000,115.088889,218.274074,259.170370,189.662963,56.446429,1.408696,0.000000
KOUTIALA/MALI,12761293000.000000,12.380000,-5.470000,367.000000,0.796154,1.370370,3.545833,20.608333,60.959091,126.019231,195.520000,231.229630,153.931034,61.684000,4.530435,0.285714
BOUGOUNI/MALI,12761296000.000000,11.420000,-7.500000,351.000000,1.052174,1.363636,5.333333,41.871429,106.052632,158.285000,253.180952,262.600000,217.950000,53.500000,8.745455,0.000000
SIKASSO/MALI,12761297000.000000,11.350000,-5.680000,375.000000,0.800000,5.878261,10.766667,54.141667,104.631818,155.395652,232.404167,266.254167,200.192000,71.721739,6.950000,0.000000
NOUADHIBOU/MAURITANIA,12861415000.000000,20.930000,-17.030000,3.000000,2.428571,2.666667,0.650000,0.476190,0.375000,0.200000,0.300000,3.047619,3.200000,5.333333,0.450000,0.391304
NOUAKCHOTT/MAURITANIA,12861442000.000000,18.100000,-15.950000,3.000000,0.850000,2.026316,0.176471,0.000000,0.187500,2.684211,11.442105,40.230435,38.804167,6.277778,1.061111,0.731250
TIDJIKJA/MAURITANIA,12861450000.000000,18.570000,-11.430000,402.000000,0.555556,0.527778,0.714286,0.857895,1.700000,10.000000,16.658824,37.668421,16.929412,3.405882,0.777778,0.100000
BOUTILIMIT/MAURITANIA,12861461000.000000,17.530000,-14.680000,75.000000,0.000000,0.252381,0.470588,0.535294,0.500000,1.518182,31.386364,49.685000,42.600000,2.975000,0.960000,0.476190
NEMA/MAURITANIA,12861497000.000000,16.600000,-7.270000,269.000000,0.181818,0.857143,0.478261,1.263158,2.210526,15.912500,53.847619,75.891304,42.376190,14.305000,0.015789,0.628000
KIFFA/MAURITANIA,12861498000.000000,16.630000,-11.400000,115.000000,0.000000,0.119048,0.578947,0.021053,1.578947,18.977273,57.833333,95.443750,66.221429,12.261111,1.842105,1.782609
AIOUN EL ATRO/MAURITANIA,12861499000.000000,16.700000,-9.600000,223.000000,0.700000,0.476190,0.500000,2.210526,1.638095,14.613636,48.272727,87.804167,42.110000,12.186957,0.885714,0.807692
ST. BRANDON/MAURITIUS,12961986000.000000,-16.450000,59.620000,4.000000,156.966667,209.066667,132.620690,111.344828,76.566667,49.500000,43.300000,42.142857,28.724138,28.827586,33.866667,84.137931
RODRIGUES/MAURITIUS,12961988000.000000,-19.680000,63.420000,59.000000,146.766667,160.300000,134.793103,123.103448,83.566667,71.466667,82.931034,65.142857,51.034483,41.068966,49.740741,47.464286
MEKNES/MOROCCO,13060150000.000000,33.880000,-5.530000,549.000000,66.079167,60.662500,49.810714,48.730769,35.370370,8.513043,1.626923,2.455556,19.600000,43.307692,62.759259,79.703704
CASABLANCA/MOROCCO,13060155000.000000,33.570000,-7.670000,62.000000,63.462069,50.662963,33.288889,33.836000,15.666667,3.304348,1.190476,0.250000,7.529167,39.011111,70.207692,70.696154
MARRAKECH/MOROCCO,13060230000.000000,31.620000,-8.030000,466.000000,29.689655,28.322222,34.460714,21.157143,12.088462,5.091667,1.369231,3.304167,7.680769,19.208333,29.053846,23.192593
OUARZAZATE/MOROCCO,13060265000.000000,30.930000,-6.900000,1140.000000,9.853846,12.918182,14.707407,3.596000,3.300000,2.609091,2.355556,11.631818,11.000000,17.062500,10.995833,10.178261
BEIRA/MOZAMBIQUE,13167297000.000000,-19.800000,34.900000,16.000000,261.311765,283.833333,259.700000,148.235294,90.050000,38.769231,46.726667,37.411111,18.071429,52.541176,87.970588,217.156250
LOURENCO MARQUES/COU/MOZAMBIQUE,13167341000.000000,-25.900000,32.600000,44.000000,145.266667,134.200000,87.733333,47.357143,25.750000,16.071429,16.066667,9.647059,28.285714,55.764706,93.166667,85.642857
BILMA/NIGER,13361017000.000000,18.680000,12.920000,357.000000,0.000000,0.000000,0.000000,1.250000,0.142857,0.476190,1.540000,5.900000,0.521739,0.000000,0.000000,0.230769
AGADEZ/NIGER,13361024000.000000,16.970000,7.980000,502.000000,0.000000,0.000000,0.592308,0.020833,4.852174,8.416667,42.636000,50.508000,16.025000,0.043478,0.000000,0.000000
TILLABERY/NIGER,13361036000.000000,14.200000,1.450000,210.000000,0.000000,0.185185,1.407407,2.000000,17.920000,48.803846,88.900000,142.412500,68.677778,5.125000,0.185185,0.000000
TAHOUA/NIGER,13361043000.000000,14.900000,5.250000,391.000000,0.185185,0.000000,0.000000,1.066667,14.156522,43.452000,80.481818,135.114815,57.465517,8.260870,0.000000,0.000000
N'GUIGMI/NIGER,13361049000.000000,14.250000,13.120000,286.000000,0.000000,0.000000,0.363636,0.750000,4.690909,17.983333,46.190476,80.195652,32.736000,2.645455,0.000000,0.000000
NIAMEY-AERO/NIGER,13361052000.000000,13.480000,2.170000,227.000000,0.000000,0.000000,2.333333,6.833333,30.660870,74.817857,142.732000,156.865517,85.213793,12.120000,0.185185,0.178571
BIRNI-N'KONNI/NIGER,13361075000.000000,13.800000,5.250000,273.000000,0.208333,2.083333,0.518519,2.086957,27.242857,61.525000,122.004167,161.477778,85.360714,11.000000,0.000000,0.000000
MARADI/NIGER,13361080000.000000,13.470000,7.080000,373.000000,0.000000,0.000000,0.592593,2.000000,14.162500,54.268182,137.640000,169.060714,75.203448,4.208333,0.000000,0.178571
ZINDER/NIGER,13361090000.000000,13.780000,8.980000,453.000000,0.000000,0.000000,1.269231,0.521739,18.212000,30.676190,112.228000,135.486957,57.892857,5.142857,0.000000,0.000000
MAGARIA/NIGER,13361091000.000000,12.980000,8.930000,403.000000,0.000000,0.000000,1.120000,3.421053,19.969565,58.420000,163.835000,178.447826,73.090909,5.947368,0.000000,0.000000
MAINE-SOROA/NIGER,13361096000.000000,13.230000,11.980000,337.000000,0.000000,0.000000,0.592593,4.222222,7.524000,32.473913,108.226087,124.712500,48.488889,5.320000,0.269231,0.038462
GAYA/NIGER,13361099000.000000,11.880000,3.450000,203.000000,0.000000,0.318182,1.916667,20.019048,80.252174,117.490000,172.022727,228.056522,141.943478,22.400000,0.000000,0.181818
SAINT-LOUIS/SENEGAL,13761600000.000000,16.050000,-16.450000,4.000000,1.240000,1.644000,0.240000,0.074074,0.212000,7.130769,43.264000,93.879310,102.486207,16.446429,1.375000,1.424000
PODOR/SENEGAL,13761612000.000000,16.650000,-14.970000,7.000000,0.583333,0.573913,0.250000,0.011538,1.409091,8.432000,47.827273,82.578261,77.892593,8.695833,0.950000,0.826087
LINGUERE/SENEGAL,13761627000.000000,15.380000,-15.120000,21.000000,1.500000,1.571429,0.000000,0.000000,0.600000,27.218519,89.222222,150.344828,116.586207,27.592593,0.880000,2.125000
MATAM/SENEGAL,13761630000.000000,15.650000,-13.250000,17.000000,0.217391,1.496000,0.083333,0.080000,1.759091,25.374074,86.148000,146.918519,100.728571,17.875000,0.434783,3.288889
DAKAR/YOFF/SENEGAL,13761641000.000000,14.730000,-17.500000,24.000000,0.666667,2.166667,0.310345,0.000000,0.071429,8.213793,55.927586,157.251724,134.831034,24.489286,0.407407,0.769231
DIOURBEL/SENEGAL,13761666000.000000,14.650000,-16.230000,9.000000,0.272727,1.478261,0.227273,0.000000,0.542857,31.000000,73.736842,193.961905,150.434783,23.154545,0.315789,2.083333
KAOLACK/SENEGAL,13761679000.000000,14.130000,-16.070000,7.000000,0.000000,3.038462,0.153846,0.000000,0.576923,35.967857,131.600000,227.696667,155.720690,47.178571,1.434615,1.407143
TAMBACOUNDA/SENEGAL,13761687000.000000,13.770000,-13.680000,50.000000,0.000000,0.068966,0.520000,0.100000,17.551852,83.796429,160.133333,205.161538,170.000000,55.203448,1.080000,0.296296
ZIGUINCHOR/SENEGAL,13761695000.000000,12.550000,-16.270000,23.000000,0.300000,0.206897,0.040000,0.000000,4.024000,107.503704,316.062500,373.792308,338.770370,97.742308,1.720000,0.537500
KOLDA/SENEGAL,13761698000.000000,12.880000,-14.970000,10.000000,0.000000,0.291667,0.272727,0.100000,18.590909,131.252174,252.033333,325.800000,232.812500,76.127273,9.819048,1.666667
KEDOUGOU/SENEGAL,13761699000.000000,12.570000,-12.220000,167.000000,0.250000,0.095238,0.952381,5.200000,57.782609,139.591304,254.550000,279.294118,277.400000,86.550000,2.566667,0.190476
